#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NZ_CP013992.1",57662,58324,"+",,,"AWN65_RS00250","WP_060381319.1",220,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",58421,61729,"-",,"mfd","AWN65_RS00255","WP_201025142.1",1102,"transcription-repair coupling factor"
"chromosome","NZ_CP013992.1",61780,62409,"-",,,"AWN65_RS00260","WP_060381321.1",209,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",62528,63481,"+",,,"AWN65_RS00265","WP_060381322.1",317,"NAD-dependent epimerase/dehydratase family protein"
"chromosome","NZ_CP013992.1",63492,63980,"-",,,"AWN65_RS00270","WP_060381323.1",162,"MULTISPECIES: nuclear transport factor 2 family protein"
"chromosome","NZ_CP013992.1",65133,66482,"-",,"rseP","AWN65_RS00290","WP_060381324.1",449,"MULTISPECIES: RIP metalloprotease RseP"
"chromosome","NZ_CP013992.1",66558,68513,"-",,,"AWN65_RS00295","WP_060381325.1",651,"T9SS type A sorting domain-containing protein"
"chromosome","NZ_CP013992.1",68593,70194,"-",,,"AWN65_RS00300","WP_060381326.1",533,"MULTISPECIES: fumarate hydratase"
"chromosome","NZ_CP013992.1",70247,71188,"-",,,"AWN65_RS00305","WP_060381327.1",313,"MULTISPECIES: leucine-rich repeat domain-containing protein"
"chromosome","NZ_CP013992.1",71218,71892,"-",,,"AWN65_RS00310","WP_060381328.1",224,"MULTISPECIES: SCO family protein"
"chromosome","NZ_CP013992.1",72086,74098,"+",,,"AWN65_RS00315","WP_060383786.1",670,"M13 family metallopeptidase"
"chromosome","NZ_CP013992.1",74278,75960,"+",,,"AWN65_RS00320","WP_060381329.1",560,"hypothetical protein"
"chromosome","NZ_CP013992.1",76205,78493,"+",,,"AWN65_RS00325","WP_060381330.1",762,"polysaccharide lyase 8 family protein"
"chromosome","NZ_CP013992.1",78496,79047,"+",,"rfbC","AWN65_RS00330","WP_060381331.1",183,"MULTISPECIES: dTDP-4-dehydrorhamnose 3,5-epimerase"
"chromosome","NZ_CP013992.1",79041,79895,"+",,"rfbD","AWN65_RS00335","WP_060381332.1",284,"MULTISPECIES: dTDP-4-dehydrorhamnose reductase"
"chromosome","NZ_CP013992.1",79892,80875,"+",,,"AWN65_RS00340","WP_060381333.1",327,"SDR family oxidoreductase"
"chromosome","NZ_CP013992.1",80879,82210,"+",,,"AWN65_RS00345","WP_060381334.1",443,"MULTISPECIES: exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase"
"chromosome","NZ_CP013992.1",82211,82963,"+",,,"AWN65_RS00350","WP_060381335.1",250,"MULTISPECIES: glycosyltransferase family 2 protein"
"chromosome","NZ_CP013992.1",82960,84270,"-",,,"AWN65_RS00355","WP_060381336.1",436,"phenylacetate--CoA ligase family protein"
"chromosome","NZ_CP013992.1",84361,85641,"+",,"purD","AWN65_RS00360","WP_060381337.1",426,"phosphoribosylamine--glycine ligase"
"chromosome","NZ_CP013992.1",85722,85952,"-",,,"AWN65_RS00365","WP_060383787.1",76,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",86000,86932,"+",,,"AWN65_RS00370","WP_060381338.1",310,"MULTISPECIES: DUF6427 family protein"
"chromosome","NZ_CP013992.1",86927,87580,"-",,"upp","AWN65_RS00375","WP_060381339.1",217,"MULTISPECIES: uracil phosphoribosyltransferase"
"chromosome","NZ_CP013992.1",87584,88033,"-",,,"AWN65_RS14965","WP_235588366.1",149,"glycosyltransferase"
"chromosome","NZ_CP013992.1",88069,88551,"-",,,"AWN65_RS14970","WP_201025133.1",160,"hypothetical protein"
"chromosome","NZ_CP013992.1",88582,89184,"+",,,"AWN65_RS00385","WP_060381340.1",200,"MULTISPECIES: DUF4254 domain-containing protein"
"chromosome","NZ_CP013992.1",89266,90294,"+",,,"AWN65_RS00390","WP_060381341.1",342,"MULTISPECIES: glycosyltransferase family 9 protein"
"chromosome","NZ_CP013992.1",90325,91380,"-",,,"AWN65_RS00395","WP_060381342.1",351,"ferredoxin--NADP reductase"
"chromosome","NZ_CP013992.1",91554,93167,"+",,,"AWN65_RS00400","WP_060381343.1",537,"discoidin domain-containing protein"
"chromosome","NZ_CP013992.1",93317,95911,"+",,,"AWN65_RS00405","WP_060381344.1",864,"hypothetical protein"
"chromosome","NZ_CP013992.1",95915,96304,"+",,,"AWN65_RS00410","WP_060381345.1",129,"MULTISPECIES: polymer-forming cytoskeletal protein"
"chromosome","NZ_CP013992.1",96291,96524,"+",,,"AWN65_RS00415","WP_060381346.1",77,"MULTISPECIES: AtpZ/AtpI family protein"
"chromosome","NZ_CP013992.1",97059,98273,"+",,"atpB","AWN65_RS00425","WP_060381348.1",404,"F0F1 ATP synthase subunit A"
"chromosome","NZ_CP013992.1",98334,98528,"+",,,"AWN65_RS00430","WP_014165720.1",64,"MULTISPECIES: ATP synthase F0 subunit C"
"chromosome","NZ_CP013992.1",98617,99117,"+",,,"AWN65_RS00435","WP_060381349.1",166,"MULTISPECIES: F0F1 ATP synthase subunit B"
"chromosome","NZ_CP013992.1",99128,99661,"+",,"atpH","AWN65_RS00440","WP_060381350.1",177,"MULTISPECIES: ATP synthase F1 subunit delta"
"chromosome","NZ_CP013992.1",99694,101271,"+",,"atpA","AWN65_RS00445","WP_060381351.1",525,"MULTISPECIES: F0F1 ATP synthase subunit alpha"
"chromosome","NZ_CP013992.1",101343,102200,"+",,"atpG","AWN65_RS00450","WP_060381352.1",285,"ATP synthase F1 subunit gamma"
"chromosome","NZ_CP013992.1",102294,102884,"-",,,"AWN65_RS00455","WP_060381353.1",196,"MULTISPECIES: riboflavin synthase"
"chromosome","NZ_CP013992.1",102939,103976,"+",,"pdxA","AWN65_RS00460","WP_060381354.1",345,"MULTISPECIES: 4-hydroxythreonine-4-phosphate dehydrogenase PdxA"
"chromosome","NZ_CP013992.1",104161,104676,"+",,,"AWN65_RS00465","WP_060381355.1",171,"MULTISPECIES: DUF177 domain-containing protein"
"chromosome","NZ_CP013992.1",104686,104880,"+",,"rpmF","AWN65_RS00470","WP_014165712.1",64,"MULTISPECIES: 50S ribosomal protein L32"
"chromosome","NZ_CP013992.1",105047,106042,"+",,,"AWN65_RS00475","WP_060381356.1",331,"MULTISPECIES: ketoacyl-ACP synthase III"
"chromosome","NZ_CP013992.1",106071,106565,"+",,"accB","AWN65_RS00480","WP_060381357.1",164,"MULTISPECIES: acetyl-CoA carboxylase biotin carboxyl carrier protein"
"chromosome","NZ_CP013992.1",106658,108007,"+",,"accC","AWN65_RS00485","WP_060381358.1",449,"MULTISPECIES: acetyl-CoA carboxylase biotin carboxylase subunit"
"chromosome","NZ_CP013992.1",108300,109490,"-",,,"AWN65_RS00490","WP_060381359.1",396,"MULTISPECIES: aminopeptidase"
"chromosome","NZ_CP013992.1",109692,110534,"-",,,"AWN65_RS14705","WP_060381360.1",280,"T9SS type A sorting domain-containing protein"
"chromosome","NZ_CP013992.1",110626,111591,"-",,,"AWN65_RS00500","WP_060381361.1",321,"MULTISPECIES: T9SS type A sorting domain-containing protein"
"chromosome","NZ_CP013992.1",111911,112249,"-",,,"AWN65_RS00505","WP_060381362.1",112,"MULTISPECIES: T9SS type A sorting domain-containing protein"
"chromosome","NZ_CP013992.1",112346,113515,"-",,,"AWN65_RS00510","WP_060381363.1",389,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",113551,116229,"-",,,"AWN65_RS00515","WP_060381364.1",892,"TonB-dependent receptor"
"chromosome","NZ_CP013992.1",116412,117095,"+",,,"AWN65_RS00520","WP_060381365.1",227,"MULTISPECIES: response regulator transcription factor"
"chromosome","NZ_CP013992.1",117095,118150,"+",,,"AWN65_RS00525","WP_060381366.1",351,"MULTISPECIES: ATP-binding protein"
"chromosome","NZ_CP013992.1",118273,118590,"+",,,"AWN65_RS00530","WP_060381367.1",105,"MULTISPECIES: membrane-binding protein"
"chromosome","NZ_CP013992.1",118793,119860,"-",,,"AWN65_RS00535","WP_060381368.1",355,"MULTISPECIES: glycosyltransferase"
"chromosome","NZ_CP013992.1",119946,120620,"+",,"trmB","AWN65_RS00540","WP_060381369.1",224,"MULTISPECIES: tRNA (guanosine(46)-N7)-methyltransferase TrmB"
"chromosome","NZ_CP013992.1",121565,122191,"+",,,"AWN65_RS00545","WP_060381370.1",208,"MULTISPECIES: LysE family transporter"
"chromosome","NZ_CP013992.1",122185,122526,"+",,,"AWN65_RS00550","WP_060381371.1",113,"MULTISPECIES: MGMT family protein"
"chromosome","NZ_CP013992.1",122695,123822,"+",,,"AWN65_RS00555","WP_060381372.1",375,"MULTISPECIES: Mrp/NBP35 family ATP-binding protein"
"chromosome","NZ_CP013992.1",123893,124132,"+",,,"AWN65_RS00560","WP_060381373.1",79,"MULTISPECIES: NifU family protein"
"chromosome","NZ_CP013992.1",124238,125296,"+",,,"AWN65_RS00565","WP_060381374.1",352,"MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase"
"chromosome","NZ_CP013992.1",125445,126311,"-",,,"AWN65_RS00570","WP_060383788.1",288,"DMT family transporter"
"chromosome","NZ_CP013992.1",126405,126728,"+",,,"AWN65_RS00575","WP_235588335.1",107,"MULTISPECIES: cation transporter"
"chromosome","NZ_CP013992.1",126887,133285,"+",,,"AWN65_RS00580","WP_060381376.1",2132,"S8 family serine peptidase"
"chromosome","NZ_CP013992.1",133384,133779,"+",,"rnpA","AWN65_RS00585","WP_060381377.1",131,"ribonuclease P protein component"
"chromosome","NZ_CP013992.1",133772,134425,"-",,,"AWN65_RS00590","WP_060381378.1",217,"MULTISPECIES: response regulator transcription factor"
"chromosome","NZ_CP013992.1",134446,136410,"-",,,"AWN65_RS00595","WP_060381379.1",654,"sensor histidine kinase"
"chromosome","NZ_CP013992.1",136649,136852,"-",,,"AWN65_RS14495","WP_081078364.1",67,"hypothetical protein"
"chromosome","NZ_CP013992.1",136964,137167,"-",,,"AWN65_RS14500","WP_081078365.1",67,"hypothetical protein"
"chromosome","NZ_CP013992.1",137271,137996,"+",,,"AWN65_RS00600","WP_060381380.1",241,"metallophosphoesterase"
"chromosome","NZ_CP013992.1",138030,138527,"+",,,"AWN65_RS00605","WP_060381381.1",165,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",138527,139096,"+",,,"AWN65_RS00610","WP_060381382.1",189,"MULTISPECIES: alkylphosphonate utilization protein"
"chromosome","NZ_CP013992.1",139970,140356,"+",,,"AWN65_RS00620","WP_060381383.1",128,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",140577,140966,"+",,,"AWN65_RS00625","WP_060381384.1",129,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",141000,142919,"+",,,"AWN65_RS00630","WP_060381385.1",639,"phage baseplate assembly protein V"
"chromosome","NZ_CP013992.1",142923,144440,"+",,,"AWN65_RS00635","WP_060381386.1",505,"zinc dependent phospholipase C family protein"
"chromosome","NZ_CP013992.1",144808,144951,"+",,,"AWN65_RS14870","WP_158447568.1",47,"hypothetical protein"
"chromosome","NZ_CP013992.1",145097,146197,"+",,,"AWN65_RS00640","WP_060381387.1",366,"hypothetical protein"
"chromosome","NZ_CP013992.1",146218,146673,"+",,,"AWN65_RS00645","WP_123884601.1",151,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",146734,147558,"+",,,"AWN65_RS00650","WP_060381389.1",274,"hypothetical protein"
"chromosome","NZ_CP013992.1",147594,148046,"+",,,"AWN65_RS00655","WP_123862011.1",150,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",148127,148444,"+",,,"AWN65_RS00660","WP_201025134.1",105,"hypothetical protein"
"chromosome","NZ_CP013992.1",148523,148909,"+",,,"AWN65_RS00665","WP_060381392.1",128,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",149153,149365,"+",,,"AWN65_RS00675","WP_060381394.1",70,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",149368,150915,"+",,,"AWN65_RS00680","WP_060381395.1",515,"hypothetical protein"
"chromosome","NZ_CP013992.1",150912,151559,"+",,,"AWN65_RS00685","WP_060381396.1",215,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",151935,152240,"+",,,"AWN65_RS00690","WP_060381397.1",101,"hypothetical protein"
"chromosome","NZ_CP013992.1",152719,153873,"+",,,"AWN65_RS00695","WP_060381398.1",384,"MULTISPECIES: beta-ketoacyl synthase"
"chromosome","NZ_CP013992.1",153865,154326,"-",,,"AWN65_RS00700","WP_060381399.1",153,"MULTISPECIES: RecX family transcriptional regulator"
"chromosome","NZ_CP013992.1",154811,157579,"+",,,"AWN65_RS00705","WP_060381400.1",922,"TonB-dependent receptor"
"chromosome","NZ_CP013992.1",157606,159210,"+",,,"AWN65_RS00710","WP_063744152.1",534,"hypothetical protein"
"chromosome","NZ_CP013992.1",159398,160909,"+",,"atpD","AWN65_RS00715","WP_060381402.1",503,"MULTISPECIES: F0F1 ATP synthase subunit beta"
"chromosome","NZ_CP013992.1",160986,161267,"+",,,"AWN65_RS00720","WP_060381403.1",93,"MULTISPECIES: F0F1 ATP synthase subunit epsilon"
"chromosome","NZ_CP013992.1",161395,161859,"+",,,"AWN65_RS00725","WP_060381404.1",154,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",161862,163004,"+",,,"AWN65_RS00730","WP_060381405.1",380,"pyridoxal phosphate-dependent aminotransferase family protein"
"chromosome","NZ_CP013992.1",162967,165270,"-",,,"AWN65_RS00735","WP_060381406.1",767,"helix-turn-helix domain-containing protein"
"chromosome","NZ_CP013992.1",165963,166343,"-",,,"AWN65_RS00740","WP_060381407.1",126,"hypothetical protein"
"chromosome","NZ_CP013992.1",166410,166583,"+",,,"AWN65_RS14975","WP_201025135.1",57,"hypothetical protein"
"chromosome","NZ_CP013992.1",166586,166819,"+",,,"AWN65_RS00745","WP_060381408.1",77,"hypothetical protein"
"chromosome","NZ_CP013992.1",166807,167376,"+",,,"AWN65_RS00750","WP_060381409.1",189,"antA/AntB antirepressor family protein"
"chromosome","NZ_CP013992.1",167669,167968,"+",,,"AWN65_RS00755","WP_060381410.1",99,"helix-turn-helix domain-containing protein"
"chromosome","NZ_CP013992.1",168052,168372,"+",,,"AWN65_RS00760","WP_060381411.1",106,"hypothetical protein"
"chromosome","NZ_CP013992.1",168472,168726,"+",,,"AWN65_RS00765","WP_060381412.1",84,"hypothetical protein"
"chromosome","NZ_CP013992.1",168719,169342,"+",,,"AWN65_RS00770","WP_060381413.1",207,"DUF6046 domain-containing protein"
"chromosome","NZ_CP013992.1",169354,170418,"+",,,"AWN65_RS00775","WP_060381414.1",354,"Clp protease ClpP"
"chromosome","NZ_CP013992.1",170452,171327,"+",,,"AWN65_RS00780","WP_060381415.1",291,"phage capsid protein"
"chromosome","NZ_CP013992.1",171486,171671,"+",,,"AWN65_RS00785","WP_060381416.1",61,"hypothetical protein"
"chromosome","NZ_CP013992.1",171966,172322,"+",,,"AWN65_RS00790","WP_060381417.1",118,"MULTISPECIES: arsenate reductase"
"chromosome","NZ_CP013992.1",172315,173208,"+",,,"AWN65_RS00795","WP_060381418.1",297,"MULTISPECIES: DMT family transporter"
"chromosome","NZ_CP013992.1",173256,174278,"-",,,"AWN65_RS00800","WP_060381419.1",340,"MULTISPECIES: c-type cytochrome"
"chromosome","NZ_CP013992.1",174509,175369,"+",,,"AWN65_RS00805","WP_060381420.1",286,"MULTISPECIES: YicC family protein"
"chromosome","NZ_CP013992.1",175412,175630,"+",,,"AWN65_RS00810","WP_081078367.1",72,"MULTISPECIES: four helix bundle protein"
"chromosome","NZ_CP013992.1",175781,176356,"+",,"gmk","AWN65_RS00815","WP_060381421.1",191,"MULTISPECIES: guanylate kinase"
"chromosome","NZ_CP013992.1",176392,176757,"+",,,"AWN65_RS00820","WP_060381422.1",121,"MULTISPECIES: four helix bundle protein"
"chromosome","NZ_CP013992.1",176791,177372,"+",,"nadD","AWN65_RS00825","WP_060381423.1",193,"MULTISPECIES: nicotinate (nicotinamide) nucleotide adenylyltransferase"
"chromosome","NZ_CP013992.1",177495,178397,"-",,,"AWN65_RS00830","WP_060381424.1",300,"MULTISPECIES: N-acetylmuramoyl-L-alanine amidase"
"chromosome","NZ_CP013992.1",179325,180776,"-",,,"AWN65_RS00835","WP_060381425.1",483,"nicotinate phosphoribosyltransferase"
"chromosome","NZ_CP013992.1",180901,181632,"-",,,"AWN65_RS00840","WP_060381426.1",243,"serine/threonine protein phosphatase"
"chromosome","NZ_CP013992.1",181665,183095,"-",,,"AWN65_RS00845","WP_060381427.1",476,"MULTISPECIES: ATP-binding protein"
"chromosome","NZ_CP013992.1",183207,183656,"-",,,"AWN65_RS00850","WP_060381428.1",149,"macro domain-containing protein"
"chromosome","NZ_CP013992.1",183762,184319,"-",,,"AWN65_RS00855","WP_060381429.1",185,"RNA 2\\'-phosphotransferase"
"chromosome","NZ_CP013992.1",184558,185193,"-",,,"AWN65_RS00860","WP_060381430.1",211,"MULTISPECIES: DUF4291 domain-containing protein"
"chromosome","NZ_CP013992.1",185330,185512,"-",,,"AWN65_RS15110","WP_235588336.1",60,"hypothetical protein"
"chromosome","NZ_CP013992.1",185635,186198,"-",,,"AWN65_RS00870","WP_060381432.1",187,"hypothetical protein"
"chromosome","NZ_CP013992.1",186284,187126,"-",,,"AWN65_RS00875","WP_060381433.1",280,"ADP-ribosylglycohydrolase family protein"
"chromosome","NZ_CP013992.1",187123,187659,"-",,,"AWN65_RS00880","WP_060381434.1",178,"NADAR family protein"
"chromosome","NZ_CP013992.1",187656,188486,"-",,"prs","AWN65_RS00885","WP_060381435.1",276,"ribose-phosphate diphosphokinase"
"chromosome","NZ_CP013992.1",188909,189601,"-",,,"AWN65_RS00890","WP_060381436.1",230,"MULTISPECIES: NUDIX hydrolase"
"chromosome","NZ_CP013992.1",189911,194896,"+",,,"AWN65_RS00895","WP_060381437.1",1661,"hypothetical protein"
"chromosome","NZ_CP013992.1",194925,200267,"+",,,"AWN65_RS00900","WP_060381438.1",1780,"SprB repeat-containing protein"
"chromosome","NZ_CP013992.1",200279,202357,"+",,,"AWN65_RS00905","WP_060381439.1",692,"hypothetical protein"
"chromosome","NZ_CP013992.1",202415,204892,"+",,,"AWN65_RS00910","WP_060381440.1",825,"hypothetical protein"
"chromosome","NZ_CP013992.1",204964,210894,"+",,,"AWN65_RS00915","WP_060381441.1",1976,"fibronectin type III domain-containing protein"
"chromosome","NZ_CP013992.1",210896,212179,"+",,,"AWN65_RS00920","WP_060381442.1",427,"endonuclease V"
"chromosome","NZ_CP013992.1",212892,214055,"+",,,"AWN65_RS00925","WP_060381443.1",387,"MULTISPECIES: iron-containing alcohol dehydrogenase"
"chromosome","NZ_CP013992.1",214160,215044,"-",,,"AWN65_RS00930","WP_060381444.1",294,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",215226,216221,"+",,,"AWN65_RS00935","WP_060381445.1",331,"MULTISPECIES: NAD(P)H-dependent glycerol-3-phosphate dehydrogenase"
"chromosome","NZ_CP013992.1",216499,217860,"+",,,"AWN65_RS15115","WP_063744209.1",453,"hypothetical protein"
"chromosome","NZ_CP013992.1",218047,218454,"-",,,"AWN65_RS00945","WP_060381446.1",135,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",218537,219556,"-",,"pheS","AWN65_RS00950","WP_060381447.1",339,"MULTISPECIES: phenylalanine--tRNA ligase subunit alpha"
"chromosome","NZ_CP013992.1",219643,219999,"-",,,"AWN65_RS00955","WP_060381448.1",118,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP013992.1",220124,220690,"+",,,"AWN65_RS00960","WP_060381449.1",188,"MULTISPECIES: CvpA family protein"
"chromosome","NZ_CP013992.1",220887,222203,"-",,"sufD","AWN65_RS00965","WP_060381450.1",438,"MULTISPECIES: Fe-S cluster assembly protein SufD"
"chromosome","NZ_CP013992.1",222657,223406,"-",,"sufC","AWN65_RS00970","WP_060381451.1",249,"MULTISPECIES: Fe-S cluster assembly ATPase SufC"
"chromosome","NZ_CP013992.1",223418,223909,"-",,,"AWN65_RS00975","WP_060381452.1",163,"MULTISPECIES: NAD(P)H-dependent oxidoreductase"
"chromosome","NZ_CP013992.1",223909,225357,"-",,"sufB","AWN65_RS00980","WP_060381453.1",482,"MULTISPECIES: Fe-S cluster assembly protein SufB"
"chromosome","NZ_CP013992.1",225804,226133,"-",,,"AWN65_RS00985","WP_060381454.1",109,"MULTISPECIES: iron-sulfur cluster assembly accessory protein"
"chromosome","NZ_CP013992.1",226298,227257,"+",,,"AWN65_RS00990","WP_060381455.1",319,"YjgN family protein"
"chromosome","NZ_CP013992.1",227257,228336,"+",,,"AWN65_RS00995","WP_060381456.1",359,"MULTISPECIES: M48 family metallopeptidase"
"chromosome","NZ_CP013992.1",228723,229583,"+",,,"AWN65_RS01000","WP_060381457.1",286,"MULTISPECIES: MBL fold metallo-hydrolase"
